step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
91,,,,,0.00018037910922430456,0.027816658839583397,0.0007856060983613133,0.0007856060983613133,,,,
92,,,,,0.00016414286801591516,0.026182878762483597,0.0007366433856077492,0.0007366433856077492,,,,
93,,,,,0.00016172447067219764,0.027261249721050262,0.0007623935234732926,0.0007623935234732926,,,,
94,,,,,0.00014682774781249464,0.02306564524769783,0.0006500551244243979,0.0006500551244243979,,,,
95,,,,,0.00015267323760781437,0.02338360622525215,0.0006609269184991717,0.0006609269184991717,,,,
96,,,,,0.00014417513739317656,0.02207494154572487,0.0006239610956981778,0.0006239610956981778,,,,
97,,,,,0.00013666167797055095,0.019532838836312294,0.0005566517938859761,0.0005566517938859761,,,,
98,,,,,0.00013626083091367036,0.019733920693397522,0.0005614784313365817,0.0005614784313365817,,,,
99,,,,,0.00013387699436862022,0.021275460720062256,0.0005988250486552715,0.0005988250486552715,,,,
100,0.00018695184553507715,0.06181647628545761,0.0016388877993449569,0.0016388877993449569,0.00014264356286730617,0.021923692896962166,0.0006194140878506005,0.0006194140878506005,92.57425742574257,92.85714285714285,4.832611645657592,1.6043286284139333
101,,,,,0.00013650335313286632,0.02165781892836094,0.0006096971919760108,0.0006096971919760108,,,,
102,,,,,0.0001445727830287069,0.02103511057794094,0.0005981642170809209,0.0005981642170809209,,,,
103,,,,,0.0001316144916927442,0.021921411156654358,0.0006138425087556243,0.0006138425087556243,,,,
104,,,,,0.00013347144704312086,0.0209640059620142,0.0005908359307795763,0.0005908359307795763,,,,
105,,,,,0.0001312510867137462,0.019914904609322548,0.0005634981789626181,0.0005634981789626181,,,,
106,,,,,0.000141413533128798,0.021870803087949753,0.0006174768786877394,0.0006174768786877394,,,,
107,,,,,0.00012113981210859492,0.019174648448824883,0.0005399361252784729,0.0005399361252784729,,,,
108,,,,,0.00013252165808808059,0.02000807784497738,0.0005664628115482628,0.0005664628115482628,,,,
109,,,,,0.00013306509936228395,0.019495654851198196,0.0005539240082725883,0.0005539240082725883,,,,
110,0.00017286509682890028,0.060395799577236176,0.0015963276382535696,0.0015963276382535696,0.00013119413051754236,0.019427135586738586,0.0005512754432857037,0.0005512754432857037,97.02970297029702,97.14285714285715,2.4864483230684433,1.7556174993515015
111,,,,,0.0001268139312742278,0.02065807580947876,0.00057985883904621,0.00057985883904621,,,,
112,,,,,0.00012367179442662746,0.019263340160250664,0.0005434193299151957,0.0005434193299151957,,,,
113,,,,,0.0001318175927735865,0.020122632384300232,0.0005689745303243399,0.0005689745303243399,,,,
114,,,,,0.00012714166950900108,0.01991707645356655,0.000561497756280005,0.000561497756280005,,,,
115,,,,,0.0001330795930698514,0.021561214700341225,0.0006055701524019241,0.0006055701524019241,,,,
116,,,,,0.0001262832374777645,0.018244393169879913,0.000519251509103924,0.000519251509103924,,,,
117,,,,,0.00012239963689353317,0.01929093338549137,0.0005434731720015407,0.0005434731720015407,,,,
118,,,,,0.00012544904893729836,0.018018245697021484,0.000513180682901293,0.000513180682901293,,,,
119,,,,,0.00012922938913106918,0.019174182787537575,0.0005439692176878452,0.0005439692176878452,,,,
120,0.00017460792150814086,0.06477216631174088,0.0017066082218661904,0.0017066082218661904,0.00011518301471369341,0.018093185499310493,0.0005099211120977998,0.0005099211120977998,95.54455445544554,95.71428571428572,3.0148088888156632,1.8712541420041149
121,,,,,0.0001141219399869442,0.01766805537045002,0.0004987623542547226,0.0004987623542547226,,,,
122,,,,,0.0001145557762356475,0.017865454778075218,0.0005039142561145127,0.0005039142561145127,,,,
123,,,,,0.00011462868133094162,0.018128497526049614,0.0005105267628096044,0.0005105267628096044,,,,
124,,,,,0.00011135344539070502,0.014874088577926159,0.00042752898298203945,0.00042752898298203945,,,,
